/Users/MCN/Documents/github/academics/CS760/HW7/HW7_base/Results/out.csv
Domain state space is Discrete(16)
Domain action space is Discrete(4)
Episode 349: Reward 0.6374310100676854, Steps -1
Episode 350: Reward 0.6374310100676854, Steps -1
Episode 351: Reward 0.6374310100676854, Steps -1
Episode 352: Reward 0.6374310100676854, Steps -1
Episode 353: Reward 0.6374310100676854, Steps -1
Episode 354: Reward 0.6374310100676854, Steps -1
Episode 355: Reward 0.6374310100676854, Steps -1
Episode 356: Reward 0.6374310100676854, Steps -1
Episode 357: Reward 0.6374310100676854, Steps -1
Episode 358: Reward 0.6374310100676854, Steps -1
Episode 359: Reward 0.6374310100676854, Steps -1
Episode 360: Reward 0.6374310100676854, Steps -1
Episode 361: Reward 0.6374310100676854, Steps -1
Episode 362: Reward 0.6374310100676854, Steps -1
Episode 363: Reward 0.6374310100676854, Steps -1
Episode 364: Reward 0.6374310100676854, Steps -1
Episode 365: Reward 0.6374310100676854, Steps -1
Episode 366: Reward 0.6374310100676854, Steps -1
Episode 367: Reward 0.6374310100676854, Steps -1
Episode 368: Reward 0.6374310100676854, Steps -1
Episode 369: Reward 0.6374310100676854, Steps -1
Episode 370: Reward 0.6374310100676854, Steps -1
Episode 371: Reward 0.6374310100676854, Steps -1
Episode 372: Reward 0.6374310100676854, Steps -1
Episode 373: Reward 0.6374310100676854, Steps -1
Episode 374: Reward 0.6374310100676854, Steps -1
Episode 375: Reward 0.6374310100676854, Steps -1
Episode 376: Reward 0.6374310100676854, Steps -1
Episode 377: Reward 0.6374310100676854, Steps -1
Episode 378: Reward 0.6374310100676854, Steps -1
Episode 379: Reward 0.6374310100676854, Steps -1
Episode 380: Reward 0.6374310100676854, Steps -1
Episode 381: Reward 0.6374310100676854, Steps -1
Episode 382: Reward 0.6374310100676854, Steps -1
Episode 383: Reward 0.6374310100676854, Steps -1
Episode 384: Reward 0.6374310100676854, Steps -1
Episode 385: Reward 0.6374310100676854, Steps -1
Episode 386: Reward 0.6374310100676854, Steps -1
Episode 387: Reward 0.6374310100676854, Steps -1
Episode 388: Reward 0.6374310100676854, Steps -1
Episode 389: Reward 0.6374310100676854, Steps -1
Episode 390: Reward 0.6374310100676854, Steps -1
Episode 391: Reward 0.6374310100676854, Steps -1
Episode 392: Reward 0.6374310100676854, Steps -1
Episode 393: Reward 0.6374310100676854, Steps -1
Episode 394: Reward 0.6374310100676854, Steps -1
Episode 395: Reward 0.6374310100676854, Steps -1
Episode 396: Reward 0.6374310100676854, Steps -1
Episode 397: Reward 0.6374310100676854, Steps -1
Episode 398: Reward 0.6374310100676854, Steps -1
Episode 399: Reward 0.6374310100676854, Steps -1
Episode 400: Reward 0.6374310100676854, Steps -1
Episode 401: Reward 0.6374310100676854, Steps -1
Episode 402: Reward 0.6374310100676854, Steps -1
Episode 403: Reward 0.6374310100676854, Steps -1
Episode 404: Reward 0.6374310100676854, Steps -1
Episode 405: Reward 0.6374310100676854, Steps -1
Episode 406: Reward 0.6374310100676854, Steps -1
Episode 407: Reward 0.6374310100676854, Steps -1
Episode 408: Reward 0.6374310100676854, Steps -1
Episode 409: Reward 0.6374310100676854, Steps -1
Episode 410: Reward 0.6374310100676854, Steps -1
Episode 411: Reward 0.6374310100676854, Steps -1
Episode 412: Reward 0.6374310100676854, Steps -1
Episode 413: Reward 0.6374310100676854, Steps -1
Episode 414: Reward 0.6374310100676854, Steps -1
Episode 415: Reward 0.6374310100676854, Steps -1
Episode 416: Reward 0.6374310100676854, Steps -1
