/Users/MCN/Documents/github/academics/CS760/HW7/HW7_base/Results/out.csv
Domain state space is Discrete(16)
Domain action space is Discrete(4)
Episode 1: Reward -14.0, Steps -1
Episode 159: Reward -16.160000000000004, Steps -1
Episode 160: Reward -16.160000000000004, Steps -1
Episode 161: Reward -16.160000000000004, Steps -1
Episode 162: Reward -16.160000000000004, Steps -1
Episode 163: Reward -16.160000000000004, Steps -1
Episode 164: Reward -16.160000000000004, Steps -1
Episode 165: Reward -16.160000000000004, Steps -1
Episode 166: Reward -16.160000000000004, Steps -1
Episode 167: Reward -16.160000000000004, Steps -1
Episode 168: Reward -16.160000000000004, Steps -1
Episode 169: Reward -16.160000000000004, Steps -1
Episode 170: Reward -16.160000000000004, Steps -1
Episode 171: Reward -16.160000000000004, Steps -1
Episode 172: Reward -16.160000000000004, Steps -1
Episode 173: Reward -16.160000000000004, Steps -1
Episode 174: Reward -16.160000000000004, Steps -1
Episode 175: Reward -16.160000000000004, Steps -1
Episode 176: Reward -16.160000000000004, Steps -1
Episode 177: Reward -16.160000000000004, Steps -1
Episode 178: Reward -16.160000000000004, Steps -1
Episode 179: Reward -16.160000000000004, Steps -1
Episode 180: Reward -16.160000000000004, Steps -1
Episode 181: Reward -16.160000000000004, Steps -1
Episode 182: Reward -16.160000000000004, Steps -1
Episode 183: Reward -16.160000000000004, Steps -1
Episode 184: Reward -16.160000000000004, Steps -1
Episode 185: Reward -16.160000000000004, Steps -1
Episode 186: Reward -16.160000000000004, Steps -1
Episode 187: Reward -16.160000000000004, Steps -1
Episode 188: Reward -16.160000000000004, Steps -1
Episode 189: Reward -16.160000000000004, Steps -1
Episode 190: Reward -16.160000000000004, Steps -1
Episode 191: Reward -16.160000000000004, Steps -1
Episode 192: Reward -16.160000000000004, Steps -1
Episode 193: Reward -16.160000000000004, Steps -1
Episode 194: Reward -16.160000000000004, Steps -1
Episode 195: Reward -16.160000000000004, Steps -1
Episode 196: Reward -16.160000000000004, Steps -1
Episode 197: Reward -16.160000000000004, Steps -1
Episode 198: Reward -16.160000000000004, Steps -1
Episode 199: Reward -16.160000000000004, Steps -1
Episode 200: Reward -16.160000000000004, Steps -1
T  o  o  o
o  o  o  o
o  o  o  o
o  o  o  x
